ID,Timestamp,Source,Event Type,User,Snapshot
9537,2026-04-16 11:11:40,Bangalore Office - Dahua Ch8,entry,B3,
9536,2026-04-16 11:11:31,Ahmedabad Office,unauthorized,Unknown (ID: 572) - 1m 30s,/static/snapshots/unauth_572_1776317998.jpg
9535,2026-04-16 11:11:20,Bangalore Office - Dahua Ch8,unauthorized,Unknown (ID: 259) - 2m 14s,/static/snapshots/unauth_259_1776317943.jpg
9534,2026-04-16 11:10:26,Ahmedabad Office,unauthorized,Unknown (ID: 663) - 7s,/static/snapshots/unauth_663_1776318017.jpg
9533,2026-04-16 11:09:54,Ahmedabad Office,unauthorized,Unknown (ID: 633) - 1m 11s,/static/snapshots/unauth_633_1776317936.jpg
9532,2026-04-16 11:09:52,Ahmedabad Office,unauthorized,Unknown (ID: 572) - 12s,/static/snapshots/unauth_572_1776317980.jpg
9531,2026-04-16 11:09:04,Ahmedabad Office,unauthorized,Unknown (ID: 572) - 2m 35s,/static/snapshots/unauth_572_1776317816.jpg
9530,2026-04-16 11:08:58,Ahmedabad Office,unauthorized,Unknown (ID: 541) - 55s,/static/snapshots/unauth_541_1776317881.jpg
9529,2026-04-16 11:08:53,Ahmedabad Office,unauthorized,Unknown (ID: 628) - 19s,/static/snapshots/unauth_628_1776317911.jpg
9528,2026-04-16 11:08:36,Ahmedabad Office,unauthorized,Unknown (ID: 574) - 2m 12s,/static/snapshots/unauth_574_1776317784.jpg
9527,2026-04-16 11:08:28,Ahmedabad Office,unauthorized,Unknown (ID: 622) - 4s,/static/snapshots/unauth_622_1776317902.jpg
9526,2026-04-16 11:07:03,Bangalore Office - Dahua Ch8,entry,B3,
9525,2026-04-16 11:06:46,Ahmedabad Office,unauthorized,Unknown (ID: 541) - 8s,/static/snapshots/unauth_541_1776317798.jpg
9524,2026-04-16 11:06:40,Ahmedabad Office,unauthorized,Unknown (ID: 583) - 6s,/static/snapshots/unauth_583_1776317794.jpg
9523,2026-04-16 11:06:37,Ahmedabad Office,unauthorized,Unknown (ID: 305) - 13m 20s,/static/snapshots/unauth_305_1776317021.jpg
9522,2026-04-16 11:06:09,Ahmedabad Office,unauthorized,Unknown (ID: 509) - 1m 40s,/static/snapshots/unauth_509_1776317671.jpg
9520,2026-04-16 11:06:08,Ahmedabad Office,unauthorized,Unknown (ID: 376) - 1m 51s,/static/snapshots/unauth_376_1776317697.jpg
