ID,Timestamp,Source,Event Type,User,Snapshot
5568,2026-04-09 17:52:48,Ahmedabad Office,unauthorized,Unknown (ID: 7208) - 3m 18s,/static/snapshots/unauth_7208_1775737168.jpg
5567,2026-04-09 17:52:38,Ahmedabad Office,unauthorized,Unknown (ID: 7224) - 46s,/static/snapshots/unauth_7224_1775737342.jpg
5566,2026-04-09 17:51:42,Ahmedabad Office,unauthorized,Unknown (ID: 7218) - 1m 16s,/static/snapshots/unauth_7218_1775737236.jpg
5565,2026-04-09 17:50:30,Ahmedabad Office,unauthorized,Unknown (ID: 7125) - 8m 24s,/static/snapshots/unauth_7125_1775736724.jpg
5564,2026-04-09 17:48:30,Ahmedabad Office,unauthorized,Unknown (ID: 7195) - 1m 26s,/static/snapshots/unauth_7195_1775737027.jpg
5563,2026-04-09 17:45:29,Ahmedabad Office,unauthorized,Unknown (ID: 7163) - 29s,/static/snapshots/unauth_7163_1775736911.jpg
5562,2026-04-09 17:43:36,Ahmedabad Office,unauthorized,Unknown (ID: 7101) - 2m 58s,/static/snapshots/unauth_7101_1775736635.jpg
5561,2026-04-09 17:42:27,Ahmedabad Office,unauthorized,Unknown (ID: 7056) - 1m 32s,/static/snapshots/unauth_7056_1775736652.jpg
5560,2026-04-09 17:42:03,Ahmedabad Office,unauthorized,Unknown (ID: 7130) - 5s,/static/snapshots/unauth_7130_1775736717.jpg
5559,2026-04-09 17:41:37,Ahmedabad Office,unauthorized,Unknown (ID: 7121) - 4s,/static/snapshots/unauth_7121_1775736691.jpg
5558,2026-04-09 17:40:42,Ahmedabad Office,unauthorized,Unknown (ID: 7056) - 1m 22s,/static/snapshots/unauth_7056_1775736565.jpg
5557,2026-04-09 17:40:37,Ahmedabad Office,unauthorized,Unknown (ID: 7093) - 19s,/static/snapshots/unauth_7093_1775736616.jpg
5556,2026-04-09 17:40:25,Ahmedabad Office,unauthorized,Unknown (ID: 7095) - 3s,/static/snapshots/unauth_7095_1775736620.jpg
5555,2026-04-09 17:40:02,Ahmedabad Office,unauthorized,Unknown (ID: 7090) - 13s,/static/snapshots/unauth_7090_1775736591.jpg
5554,2026-04-09 17:39:22,Ahmedabad Office,unauthorized,Unknown (ID: 7060) - 6s,/static/snapshots/unauth_7060_1775736554.jpg
5553,2026-04-09 17:39:19,Ahmedabad Office,unauthorized,Unknown (ID: 7021) - 3m 43s,/static/snapshots/unauth_7021_1775736334.jpg
5552,2026-04-09 17:39:16,Ahmedabad Office,unauthorized,Unknown (ID: 6927) - 4s,/static/snapshots/unauth_6927_1775736549.jpg
5551,2026-04-09 17:39:15,Ahmedabad Office,unauthorized,Unknown (ID: 7056) - 1m 19s,/static/snapshots/unauth_7056_1775736516.jpg
5550,2026-04-09 17:39:11,Ahmedabad Office,unauthorized,Unknown (ID: 7060) - 15s,/static/snapshots/unauth_7060_1775736534.jpg
5549,2026-04-09 17:39:00,Ahmedabad Office,unauthorized,Unknown (ID: 7066) - 21s,/static/snapshots/unauth_7066_1775736522.jpg
